name,price,rating,rating_amount,image_path
"Ноутбук Lenovo IdeaPad 1 15AMN7 (82VG00CLRA) Cloud Grey / 15.6"" IPS Full HD / AMD Ryzen 3 7320U / RAM 8 ГБ / SSD 512 ГБ",14999,4.73718,172,https://content2.rozetka.com.ua/goods/images/big/325444168.jpg
"Ноутбук Acer Nitro V 15 ANV15-51-545T (NH.QNBEU.00D) Obsidian Black / 15.6"" IPS Full HD 144 Гц / Intel Core i5-13420H / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 4050, 6 ГБ + 1000 бонусних ₴ за відеовідгук",39999,5.0,5,https://content.rozetka.com.ua/goods/images/big/443864285.jpg
"Ноутбук ASUS VivoBook 16 X1605ZA-MB531 (90NB0ZA3-M00H30) Indie Black / 16"" IPS WUXGA+ / Intel Core i5-1235U / RAM 16 ГБ / SSD 1 ТБ + подарунковий сертифікат на 500 грн!",24499,3.933335,16,https://content.rozetka.com.ua/goods/images/big/463076542.jpg
"Ноутбук ASUS VivoBook 16 X1605ZA-MB531 (90NB0ZA3-M00H30) Indie Black / 16"" IPS WUXGA+ / Intel Core i5-1235U / RAM 16 ГБ / SSD 1 ТБ + подарунковий сертифікат на 500 грн!",24499,3.933335,16,https://content.rozetka.com.ua/goods/images/big/463076542.jpg
"Ноутбук Acer Nitro V 15 ANV15-51-545T (NH.QNBEU.00D) Obsidian Black / 15.6"" IPS Full HD 144 Гц / Intel Core i5-13420H / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 4050, 6 ГБ + 1000 бонусних ₴ за відеовідгук",39999,5.0,5,https://content.rozetka.com.ua/goods/images/big/443864285.jpg
"Ноутбук Lenovo IdeaPad 1 15AMN7 (82VG00CLRA) Cloud Grey / 15.6"" IPS Full HD / AMD Ryzen 3 7320U / RAM 8 ГБ / SSD 512 ГБ",14999,4.73718,172,https://content2.rozetka.com.ua/goods/images/big/325444168.jpg
"Ноутбук ASUS VivoBook 16 X1605ZA-MB531 (90NB0ZA3-M00H30) Indie Black / 16"" IPS WUXGA+ / Intel Core i5-1235U / RAM 16 ГБ / SSD 1 ТБ + подарунковий сертифікат на 500 грн!",24499,3.933335,16,https://content.rozetka.com.ua/goods/images/big/463076542.jpg
